iter	RMSE
0	217.4471809
1	211.0645779
2	205.2069264
3	198.2178396
4	192.1426097
5	186.983107
6	186.1571078
7	181.9910142
8	179.1899063
9	177.8882981
10	174.233593
11	171.5528713
12	169.6395018
13	168.9343597
14	164.6973242
15	161.4735645
16	160.6605625
17	159.4837958
18	158.89856
19	156.5788208
20	155.6343652
21	155.2608965
22	154.6819864
23	152.9252179
24	152.3722861
25	151.8370273
26	151.5067712
27	150.999791
28	148.3663423
29	146.4393264
30	145.9689261
31	143.0668419
32	142.7734251
33	141.1242122
34	140.8358506
35	140.1628575
36	137.6211695
37	137.3467405
38	135.3343935
39	135.0730016
40	134.8159279
41	132.8059976
42	132.5527559
43	132.2044767
44	131.756027
45	130.8077196
46	130.5740534
47	130.3429501
48	130.116175
49	129.8884238
50	129.6713103
51	129.4531812
52	129.1432492
53	128.8446923
54	128.6363742
55	127.8179002
56	127.6172577
57	127.1491674
58	124.9597668
59	124.2705291
60	123.3635303
61	123.0997305
62	122.9147876
63	122.3858214
64	122.1332152
65	119.6090298
66	118.8270838
67	118.6007162
68	117.8869497
69	117.2273044
70	116.9988379
71	116.7748093
72	116.5558532
73	114.5510611
74	114.0722664
75	113.6082291
76	113.4520159
77	113.2450179
78	113.0415574
79	112.8911328
80	112.6937081
81	110.7547567
82	110.6144255
83	110.031173
84	109.9069421
85	109.7211959
86	109.5859535
87	109.4051762
88	108.8985861
89	108.7241825
90	108.553009
91	108.3850725
92	107.6321811
93	107.1076205
94	106.6031182
95	106.4487874
96	106.336956
97	104.5636406
98	104.4066457
99	103.8926289
100	103.7868616
101	103.6437807
102	102.5081599
103	102.4059046
104	102.2685186
105	102.1692052
106	102.0713347
107	101.9313466
108	101.8325931
109	101.738799
110	101.646343
111	101.5116656
112	100.0526154
113	99.96260496
114	99.83164348
115	99.74408154
116	99.61623187
117	99.48992925
118	99.40614548
119	98.98719266
120	98.9064519
121	98.82687036
122	98.46191116
123	97.48149345
124	97.4048131
125	96.81429332
126	96.69992578
127	96.37121152
128	96.29810748
129	94.68820188
130	94.61602562
131	94.50612268
132	94.43599782
133	94.36691044
134	94.29884041
135	94.13356926
136	93.61284855
137	91.96056502
138	91.89369482
139	91.8271534
140	91.76162813
141	91.62016419
142	91.55704161
143	91.42049675
144	91.29814376
145	90.08617342
146	89.96624826
147	89.84974474
148	89.73653021
149	89.62645465
150	89.55054833
151	89.49402428
152	89.42044958
153	89.36560582
154	89.2623256
155	87.87599342
156	87.82214675
157	86.64633115
158	86.59270504
159	86.5399385
160	86.4880009
161	86.43687108
162	86.38653564
163	86.33697738
164	86.28818023
165	86.24012676
166	85.5444894
167	85.49765295
168	85.06490113
169	83.71826632
170	83.67203233
171	83.6265576
172	82.73565631
173	81.96256228
174	81.91720515
175	81.87257302
176	81.18885641
177	80.51264329
178	79.93854579
179	79.51044214
180	79.44083243
181	78.88548068
182	78.81731156
183	78.20684652
184	77.67867424
185	77.21691366
186	76.64587106
187	76.26205119
188	75.72428453
189	74.87917539
190	74.51106221
191	74.02145375
192	73.58642546
193	73.15299513
194	72.80574298
195	72.37038859
196	71.45069341
197	71.16461503
198	70.79315905
199	70.42145276
200	70.15727222
201	70.10451216
202	70.03577549
203	69.77670622
204	69.46456156
205	69.09656425
206	68.3956477
207	68.06574402
208	67.74828662
209	67.4641277
210	67.16518
211	66.93577394
212	66.09258975
213	66.04319869
214	65.7607469
215	65.71211296
216	65.44598202
217	65.07579713
218	64.82673757
219	64.53554266
220	64.19953551
221	63.96426328
222	63.85264283
223	63.64802536
224	62.99131751
225	62.78750748
226	62.23855622
227	61.70472082
228	61.60333891
229	61.4182595
230	61.31620415
231	60.97073242
232	60.52268585
233	60.3558666
234	60.26175629
235	59.76670912
236	59.34988462
237	59.27606461
238	59.0505789
239	58.90735503
240	58.61943201
241	58.54770509
242	58.41186089
243	58.10214612
244	58.03300704
245	57.96539811
246	57.89927854
247	57.53709736
248	57.20293134
249	57.13770547
250	56.89620467
251	56.53344349
252	56.16635295
253	56.03958675
254	55.81603871
255	55.68114099
256	55.56432667
257	55.44257954
258	55.12914117
259	54.85123295
260	54.72615715
261	54.66643302
262	54.35609631
263	54.29690456
264	54.02065551
265	53.96235947
266	53.85141859
267	53.7827425
268	53.66457243
269	53.30989569
270	53.19850177
271	53.0984117
272	52.79742992
273	52.66464153
274	52.46308441
275	52.23940404
276	52.06300241
277	51.87286391
278	51.82255818
279	51.54606537
280	51.49680898
281	51.39586512
282	51.12249115
283	50.99579254
284	50.8218906
285	50.7252889
286	50.43864304
287	50.25328672
288	50.11077911
289	50.01921115
290	49.81267166
291	49.75847543
292	49.46651741
293	49.41312227
294	49.36115411
295	49.26444117
296	49.21409015
297	48.92723522
298	48.87740313
299	48.76421173
300	48.71604725
301	48.65555961
302	48.51048129
303	48.28198241
304	48.22426865
305	48.06320216
306	47.74535437
307	47.6982635
308	47.65239455
309	47.42391093
310	47.3793896
311	47.32386415
312	47.28035007
313	47.22600809
314	47.163666
315	47.12149703
316	46.89970641
317	46.69189963
318	46.54776739
319	46.50746368
320	46.43384655
321	46.20333219
322	46.13786319
323	46.09917974
324	46.00420134
325	45.82677182
326	45.61396498
327	45.57653802
328	45.54006512
329	45.34502378
330	45.30919689
331	45.20524837
332	45.15549104
333	45.0659529
334	44.90190121
335	44.78631596
336	44.73862376
337	44.70528818
338	44.51296151
339	44.47962898
340	44.44715895
341	44.29858784
342	44.26684628
343	44.1945021
344	44.08037249
345	43.92422291
346	43.82634099
347	43.6964271
348	43.54603851
349	43.49638059
350	43.42824323
351	43.38076206
352	43.28147743
353	43.17751418
354	43.1495625
355	42.95032812
356	42.91525913
357	42.80025467
358	42.76714611
359	42.64227919
360	42.62047745
361	42.52161393
362	42.48985698
363	42.35658318
364	42.24122079
365	42.22098507
366	42.06934645
367	42.04951635
368	42.03009418
369	41.94088231
370	41.90003829
371	41.87091909
372	41.85250169
373	41.81246643
374	41.6987568
375	41.58882993
376	41.57103846
377	41.39959408
378	41.371653
379	41.27620786
380	41.25934656
381	41.24282636
382	41.20165752
383	41.1033323
384	41.07751568
385	41.06162725
386	41.04605145
387	40.95216874
388	40.84246796
389	40.82777338
390	40.75565679
391	40.68630823
392	40.61957738
393	40.55532652
394	40.53981439
395	40.52481932
396	40.51004854
397	40.4951944
398	40.43452554
399	40.4200042
400	40.40619101
401	40.39258721
402	40.37912179
403	40.32192821
404	40.3087897
405	40.29585451
406	40.2832654
407	40.22914796
408	40.21723209
409	40.20549584
410	40.15374455
411	40.14244626
412	40.13131812
413	40.12035745
414	40.07114465
415	40.06059149
416	40.05019751
417	40.0031321
418	39.99312302
419	39.92604543
420	39.88396545
421	39.85003576
422	39.84017529
423	39.83046478
424	39.71528665
425	39.60779673
426	39.57574788
427	39.54470978
428	39.46716361
429	39.42681116
430	39.38441748
431	39.34344145
432	39.33484262
433	39.32637464
434	39.28715522
435	39.27893203
436	39.16343605
437	39.12588437
438	39.08954843
439	39.05437845
440	38.9512377
441	38.94371694
442	38.93627063
443	38.92470502
444	38.86077935
445	38.83174213
446	38.80362461
447	38.76558542
448	38.73282034
449	38.6673916
450	38.63560257
451	38.60480868
452	38.54355985
453	38.5138122
454	38.43776972
455	38.41121671
456	38.38550586
457	38.37677906
458	38.27446362
459	38.24949011
460	38.1742535
461	38.16832104
462	38.14449628
463	38.13721854
464	38.10898656
465	38.0252874
466	37.96805393
467	37.91658111
468	37.84621158
469	37.79558301
470	37.76469695
471	37.69513234
472	37.64675775
473	37.60551598
474	37.5804082
475	37.53394186
476	37.44206788
477	37.3351041
478	37.27624342
479	37.2273664
480	37.20764819
